site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
HAKA 13MAR27 2013.2348 56378 1733 3   93.6    459  0.181277   2504056  0.748316  1832  0.700225  0.0000 0.001191 0.001083 0.004643  0.004272 -0.145354  0.045179  22.6344564329 -266.3955331049  1832.70023
HAKA 13MAR28 2013.2375 56379 1733 4   93.6    459  0.183490   2504056  0.748273  1832  0.705144  0.0000 0.001217 0.001111 0.004826  0.068442 -0.177739  0.014916  22.6344564325 -266.3955330833  1832.70514
HAKA 13MAR29 2013.2402 56380 1733 5   93.6    459  0.179528   2504056  0.750923  1832  0.711791  0.0000 0.001218 0.001119 0.004821  0.058667 -0.167372  0.011787  22.6344564564 -266.3955331219  1832.71179
HAKA 13MAR30 2013.2430 56381 1733 6   93.6    459  0.181745   2504056  0.750154  1832  0.699535  0.0000 0.001228 0.001144 0.004939  0.065138 -0.167304  0.026820  22.6344564495 -266.3955331003  1832.69953
HAKA 13MAR31 2013.2457 56382 1734 0   93.6    459  0.180117   2504056  0.752857  1832  0.710276  0.0000 0.001243 0.001134 0.004931  0.064690 -0.161836  0.043026  22.6344564739 -266.3955331161  1832.71028
HAKA 13APR01 2013.2485 56383 1734 1   93.6    459  0.182530   2504056  0.750990  1832  0.703476  0.0000 0.001210 0.001149 0.004892  0.059541 -0.129933  0.093397  22.6344564570 -266.3955330927  1832.70348
HAKA 13APR02 2013.2512 56384 1734 2   93.6    459  0.184433   2504056  0.753228  1832  0.718377  0.0000 0.001210 0.001120 0.004806  0.021458 -0.162325  0.064996  22.6344564772 -266.3955330742  1832.71838
HAKA 13APR03 2013.2539 56385 1734 3   93.6    459  0.176855   2504056  0.751128  1832  0.726525  0.0000 0.001192 0.001114 0.004786  0.006003 -0.173647  0.103604  22.6344564583 -266.3955331479  1832.72653
HAKA 13APR04 2013.2567 56386 1734 4   93.6    459  0.177221   2504056  0.750524  1832  0.716489  0.0000 0.001301 0.001166 0.005048  0.042285 -0.172862  0.064495  22.6344564528 -266.3955331443  1832.71649
HAKA 13APR05 2013.2594 56387 1734 5   93.6    459  0.179607   2504056  0.750258  1832  0.722838  0.0000 0.001255 0.001149 0.005040  0.031877 -0.170043  0.114489  22.6344564504 -266.3955331211  1832.72284
HAKA 13APR06 2013.2621 56388 1734 6   93.6    459  0.181096   2504056  0.749519  1832  0.718506  0.0000 0.001200 0.001113 0.004744 -0.001177 -0.127481  0.089785  22.6344564437 -266.3955331066  1832.71851
HAKA 13APR07 2013.2649 56389 1735 0   93.6    459  0.183631   2504056  0.747494  1832  0.708002  0.0000 0.001201 0.001078 0.004659  0.032053 -0.146753  0.056938  22.6344564255 -266.3955330820  1832.70800
HAKA 13APR08 2013.2676 56390 1735 1   93.6    459  0.183055   2504056  0.750917  1832  0.714100  0.0000 0.001287 0.001188 0.005276  0.021439 -0.186960  0.091554  22.6344564564 -266.3955330876  1832.71410
HAKA 13APR09 2013.2704 56391 1735 2   93.6    459  0.186258   2504056  0.748511  1832  0.715941  0.0000 0.001277 0.001167 0.005078  0.010345 -0.121842  0.048680  22.6344564346 -266.3955330564  1832.71594
HAKA 13APR10 2013.2731 56392 1735 3   93.6    459  0.185467   2504056  0.748769  1832  0.704507  0.0000 0.001316 0.001197 0.005478  0.084357 -0.165498  0.061928  22.6344564370 -266.3955330641  1832.70451
HAKA 13APR11 2013.2758 56393 1735 4   93.6    459  0.188788   2504056  0.747342  1832  0.707617  0.0000 0.001235 0.001170 0.005144 -0.021774 -0.189628  0.039775  22.6344564241 -266.3955330318  1832.70762
HAKA 13APR12 2013.2786 56394 1735 5   93.6    459  0.185677   2504056  0.750827  1832  0.706268  0.0000 0.001320 0.001242 0.005606  0.048247 -0.143592  0.062130  22.6344564556 -266.3955330621  1832.70627
HAKA 13APR13 2013.2813 56395 1735 6   93.6    459  0.185259   2504056  0.748666  1832  0.707203  0.0000 0.001219 0.001102 0.004718  0.014312 -0.137024  0.080838  22.6344564361 -266.3955330661  1832.70720
HAKA 13APR14 2013.2841 56396 1736 0   93.6    459  0.185869   2504056  0.746748  1832  0.716995  0.0000 0.001209 0.001078 0.004653  0.022499 -0.178034  0.030280  22.6344564187 -266.3955330602  1832.71700
HAKA 13APR15 2013.2868 56397 1736 1   93.6    459  0.188102   2504056  0.749497  1832  0.719765  0.0000 0.001321 0.001193 0.005359  0.078797 -0.148771  0.084007  22.6344564436 -266.3955330385  1832.71977
HAKA 13APR16 2013.2895 56398 1736 2   93.6    459  0.188250   2504056  0.747566  1832  0.709470  0.0000 0.001288 0.001223 0.005281  0.016862 -0.106656  0.129328  22.6344564261 -266.3955330370  1832.70947
HAKA 13APR17 2013.2923 56399 1736 3   93.6    459  0.184359   2504056  0.747820  1832  0.706686  0.0000 0.001254 0.001154 0.005076  0.065569 -0.144007  0.051163  22.6344564284 -266.3955330749  1832.70669
HAKA 13APR18 2013.2950 56400 1736 4   93.6    459  0.186235   2504056  0.748332  1832  0.709774  0.0000 0.001359 0.001209 0.005197  0.005864 -0.141818  0.138034  22.6344564330 -266.3955330566  1832.70977
HAKA 13APR19 2013.2977 56401 1736 5   93.6    459  0.185310   2504056  0.748612  1832  0.713222  0.0000 0.001230 0.001146 0.005047  0.037443 -0.178912  0.079092  22.6344564356 -266.3955330656  1832.71322
HAKA 13APR20 2013.3005 56402 1736 6   93.6    459  0.185253   2504056  0.751316  1832  0.713747  0.0000 0.001239 0.001150 0.004951 -0.008655 -0.153751  0.056733  22.6344564600 -266.3955330662  1832.71375
HAKA 13APR21 2013.3032 56403 1737 0   93.6    459  0.185404   2504056  0.748540  1832  0.719393  0.0000 0.001259 0.001099 0.004901  0.042200 -0.203227  0.005928  22.6344564349 -266.3955330647  1832.71939
HAKA 13APR22 2013.3060 56404 1737 1   93.6    459  0.189818   2504056  0.749707  1832  0.707832  0.0000 0.001225 0.001116 0.004868 -0.005572 -0.156386  0.027892  22.6344564454 -266.3955330218  1832.70783
